agent_id,tract_id,mg,tenure,income,household_size,generations,has_vehicle,has_children,has_elderly,housing_cost_burden,rcv_building,rcv_contents,trust_gov,trust_ins,trust_neighbors,elevated,has_insurance,relocated,cumulative_damage,cumulative_oop
H0039,T001,False,Owner,114985.7,4,4,True,False,True,False,738381.55,238560.54,0.818,0.86,0.416,False,True,False,0.0,0.0
H0040,T001,False,Owner,43730.39,3,2,True,False,False,False,382565.21,163297.04,0.386,0.424,0.608,False,False,False,0.0,0.0
H0041,T001,False,Renter,78369.37,6,1,True,True,False,False,0.0,52196.39,0.577,0.509,0.379,False,False,False,0.0,0.0
H0042,T001,True,Renter,33800.84,3,1,True,True,False,False,0.0,32169.32,0.681,0.125,0.65,False,False,False,0.0,0.0
H0043,T001,True,Owner,20000.0,3,1,True,False,False,False,294225.92,122545.66,0.316,0.19,0.494,False,True,False,0.0,0.0
H0044,T001,True,Owner,28401.61,3,3,True,False,False,False,252277.98,86282.93,0.421,0.1,0.389,False,False,False,0.0,0.0
H0045,T001,True,Renter,80000.0,2,1,True,False,False,True,0.0,52852.97,0.325,0.116,0.579,False,False,False,0.0,0.0
H0046,T001,False,Renter,113631.18,5,2,True,False,True,False,0.0,66703.69,0.233,0.672,0.472,False,False,False,0.0,0.0
H0047,T001,True,Renter,61964.15,2,1,True,False,False,True,0.0,50140.64,0.267,0.115,0.429,False,False,False,0.0,0.0
H0048,T001,True,Renter,21924.88,2,1,True,False,False,False,0.0,32792.15,0.129,0.466,0.801,False,False,False,0.0,0.0
H0049,T001,False,Owner,92008.89,2,1,False,False,False,False,383046.51,181131.43,0.658,0.35,0.8,False,False,False,0.0,0.0
H0050,T001,True,Renter,22779.81,3,1,True,False,False,False,0.0,25222.84,0.285,0.514,0.437,False,True,False,0.0,0.0
H0051,T001,False,Owner,77209.39,4,3,True,True,True,False,357458.15,138305.12,0.374,0.692,0.746,False,False,False,0.0,0.0
H0052,T001,True,Renter,32452.91,2,1,True,False,False,True,0.0,38226.21,0.1,0.1,0.446,False,False,False,0.0,0.0
H0053,T001,True,Renter,41870.04,3,1,True,False,False,False,0.0,37499.52,0.53,0.307,0.632,False,False,False,0.0,0.0
H0054,T001,True,Renter,43259.53,2,1,True,False,False,False,0.0,32411.95,0.37,0.221,0.517,False,False,False,0.0,0.0
H0055,T001,True,Owner,49202.43,1,2,True,False,True,True,225217.47,109922.51,0.308,0.1,0.612,False,False,False,0.0,0.0
H0056,T001,False,Renter,67518.13,3,1,True,False,True,False,0.0,47617.3,0.791,0.349,0.684,False,False,False,0.0,0.0
H0057,T001,False,Owner,109002.98,2,1,True,False,False,False,249734.19,85593.97,0.48,0.54,0.551,False,False,False,0.0,0.0
H0058,T001,False,Renter,100937.2,2,1,True,True,False,False,0.0,61413.32,0.291,0.477,0.703,False,False,False,0.0,0.0
H0059,T001,True,Renter,33618.65,1,2,True,False,False,True,0.0,31901.6,0.564,0.458,0.489,False,True,False,0.0,0.0
H0060,T001,True,Owner,41338.45,5,3,True,True,False,False,385458.57,130626.92,0.114,0.119,0.567,False,False,False,0.0,0.0
H0061,T001,False,Owner,56882.91,1,1,True,True,False,False,317705.63,144241.29,0.54,0.716,0.3,False,True,False,0.0,0.0
H0062,T001,False,Owner,90852.03,3,2,True,False,True,False,463682.44,162214.51,0.577,0.335,0.757,False,False,False,0.0,0.0
H0063,T001,False,Renter,68153.47,2,1,True,False,False,False,0.0,50426.05,0.524,0.557,0.493,False,False,False,0.0,0.0
H0064,T001,False,Renter,79191.77,2,1,True,False,False,False,0.0,47685.22,0.346,0.475,0.8,False,False,False,0.0,0.0
H0065,T001,False,Renter,111654.34,2,3,True,False,False,False,0.0,73895.27,0.5,0.604,0.592,False,False,False,0.0,0.0
H0066,T001,False,Owner,79503.74,2,3,True,False,True,False,417998.84,149286.46,0.681,0.596,0.326,False,False,False,0.0,0.0
H0067,T001,True,Owner,44195.94,6,2,False,True,False,False,449450.44,140608.67,0.337,0.185,0.701,False,False,False,0.0,0.0
H0068,T001,False,Owner,67971.09,4,1,True,False,False,False,447926.03,186702.68,0.747,0.775,0.3,False,False,False,0.0,0.0
H0069,T001,False,Renter,50933.94,6,1,True,True,False,False,0.0,44735.86,0.669,0.521,0.749,False,False,False,0.0,0.0
H0070,T001,False,Renter,151435.09,3,4,True,False,False,False,0.0,80000.0,0.466,0.605,0.701,False,False,False,0.0,0.0
H0071,T001,True,Owner,80000.0,3,1,True,True,False,False,173706.69,66158.51,0.4,0.1,0.2,False,False,False,0.0,0.0
H0072,T001,False,Owner,100769.35,1,2,True,True,False,False,369617.24,152606.97,0.526,0.446,0.543,False,True,False,0.0,0.0
H0073,T001,False,Owner,64706.23,1,2,True,True,False,False,424150.2,145200.21,0.519,0.463,0.618,False,False,False,0.0,0.0
H0074,T001,False,Owner,65619.74,5,3,True,False,False,False,336172.88,106358.8,0.531,0.38,0.633,False,True,False,0.0,0.0
H0075,T001,False,Renter,70042.13,2,4,True,False,False,False,0.0,42858.97,0.511,0.777,0.558,False,False,False,0.0,0.0
H0076,T001,False,Renter,43607.0,4,2,True,True,True,False,0.0,28121.14,0.419,0.556,0.402,False,True,False,0.0,0.0
H0077,T001,False,Owner,45245.1,2,2,True,False,False,False,604562.83,201656.66,0.601,0.615,0.551,False,False,False,0.0,0.0
H0078,T001,False,Owner,40000.0,3,1,True,False,True,False,447532.23,136558.05,0.767,0.711,0.558,False,False,False,0.0,0.0
H0079,T001,False,Renter,50879.21,4,1,True,False,True,False,0.0,43596.31,0.427,0.583,0.62,False,False,False,0.0,0.0
H0080,T001,False,Owner,93519.21,1,1,True,False,False,False,405848.56,131580.57,0.382,0.441,0.3,False,False,False,0.0,0.0
H0081,T001,False,Owner,80384.02,1,2,True,False,False,False,301848.18,111154.46,0.74,0.666,0.3,False,False,False,0.0,0.0
H0082,T001,False,Owner,83063.36,3,1,True,False,False,False,424424.59,187367.21,0.544,0.371,0.386,False,False,False,0.0,0.0
H0083,T001,False,Renter,96946.2,4,1,True,False,False,False,0.0,61600.49,0.462,0.447,0.701,False,False,False,0.0,0.0
H0084,T001,False,Renter,85531.34,2,1,True,False,False,False,0.0,49786.72,0.811,0.208,0.504,False,True,False,0.0,0.0
H0085,T001,False,Owner,74643.15,3,1,True,False,False,False,282715.55,86437.45,0.235,0.738,0.512,False,False,False,0.0,0.0
H0086,T001,True,Owner,44761.84,5,1,True,True,False,False,264573.9,93990.86,0.569,0.233,0.838,False,True,False,0.0,0.0
H0087,T001,False,Owner,123836.2,1,1,True,False,False,False,299078.08,131032.65,0.728,0.621,0.561,False,False,False,0.0,0.0
H0088,T001,False,Renter,71585.25,3,2,True,True,False,False,0.0,47214.39,0.822,0.88,0.433,False,False,False,0.0,0.0
H0089,T001,False,Owner,140014.79,1,2,True,False,False,False,779204.27,285312.08,0.315,0.623,0.567,False,False,False,0.0,0.0
H0090,T001,True,Owner,23126.02,3,4,False,True,True,False,317079.38,143458.74,0.1,0.149,0.809,False,False,False,0.0,0.0
H0091,T001,True,Owner,26655.0,2,1,True,False,False,True,222978.97,71376.73,0.248,0.187,0.408,False,False,False,0.0,0.0
H0092,T001,True,Owner,47298.9,1,2,False,False,False,False,208009.11,85423.48,0.371,0.1,0.799,False,False,False,0.0,0.0
H0093,T001,True,Renter,35244.73,5,1,True,False,False,False,0.0,34473.83,0.428,0.169,0.787,False,False,False,0.0,0.0
H0094,T001,True,Owner,23485.57,5,2,True,False,False,True,217100.42,68346.78,0.1,0.604,0.527,False,False,False,0.0,0.0
H0095,T001,True,Owner,45493.0,2,1,True,False,False,True,196059.02,88792.91,0.209,0.264,0.671,False,False,False,0.0,0.0
H0096,T001,False,Owner,50295.56,1,2,True,False,False,False,465816.53,219880.93,0.576,0.476,0.618,False,False,False,0.0,0.0
H0097,T001,True,Renter,72614.88,6,1,True,False,False,True,0.0,46227.71,0.256,0.206,0.447,False,False,False,0.0,0.0
H0098,T001,False,Owner,46931.64,3,1,True,True,True,False,384872.57,150139.08,0.834,0.393,0.3,False,False,False,0.0,0.0
H0099,T001,True,Owner,46786.8,2,1,True,False,False,False,207796.19,100735.89,0.173,0.28,0.69,False,False,False,0.0,0.0
H0100,T001,False,Renter,44577.39,4,3,True,False,False,False,0.0,43542.59,0.327,0.261,0.3,False,False,False,0.0,0.0
