agent_id,year,decision,raw_skill,outcome,elevated,has_insurance,relocated
Agent_89,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_90,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_91,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_92,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_93,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_94,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_95,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_96,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_97,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_98,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_99,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_100,1,Do Nothing,do_nothing,APPROVED,False,False,False
